부류코드,부류명,품목코드,품목명,단위,당일,1일전,10일전,20일전,1개월전,1년전,등락,등락률
200,채소류,60,토마토/토마토,5kg,10000,9830,11655,12060,10600,13300,0,1825
200,채소류,66,무/고랭지,20kg,1,1,1,1,1,1,2,0
200,채소류,74,당근/무세척,20kg,42300,42300,40260,37120,36000,25000,1,2040
200,채소류,79,열무/열무,4kg,17700,20700,11604,8172,9488,11432,1,9096
200,채소류,81,건고추/화건,30kg,600000,600000,543600,543600,600000,800000,1,56400
200,채소류,85,건고추/양건,30kg,750000,750000,683400,683400,750000,1050000,1,66600
200,채소류,90,풋고추/풋고추,10kg,100000,74700,55670,54820,67650,82220,1,19030
200,채소류,92,풋고추/꽈리고추,4kg,42200,37500,31490,32680,32050,32480,1,6010
200,채소류,94,풋고추/청양고추,10kg,90500,94500,65765,60680,59825,63780,1,28735
200,채소류,1996,풋고추/오이맛고추,10kg,1,1,1,1,1,1,2,0
200,채소류,96,붉은고추/붉은고추,10kg,64700,66200,60325,75980,79550,70600,1,5875
200,채소류,1498,피마늘/난지(대서),10kg,60000,60000,60000,62600,60000,50000,2,0
200,채소류,1003,깐마늘(국산)/깐마늘(남도),20kg,175000,175000,175000,175000,175000,149600,2,0
200,채소류,1001,깐마늘(국산)/깐마늘(대서),20kg,168000,170000,176250,176000,170000,135000,0,6250
200,채소류,1506,깐마늘(국산)/햇깐마늘(남도),20kg,1,1,1,1,1,1,2,0
200,채소류,1504,깐마늘(국산)/햇깐마늘(대서),20kg,1,1,1,1,1,1,2,0
200,채소류,117,양파/양파,15kg,21100,21100,22665,18840,19525,12105,0,1565
200,채소류,122,파/대파,1kg,2100,2000,2016,1956,1905,1338,0,16
200,채소류,124,파/쪽파,1kg,8500,8500,10882,8698,8000,5000,0,2382
200,채소류,126,생강/국산,10kg,33000,33000,35460,35260,33000,52000,0,2460
200,채소류,131,미나리/미나리,7.5kg,45000,46600,31390,27620,29575,21780,1,15210
200,채소류,133,깻잎/깻잎,2kg,26200,24000,21980,24020,26425,16820,1,2020
200,채소류,137,피망/청,10kg,45200,42000,40615,29520,33750,35740,1,1385
200,채소류,139,파프리카/파프리카,5kg,16200,15700,15375,16560,18900,23180,1,325
200,채소류,141,멜론/멜론,8kg,26800,26800,25060,30740,41200,26000,1,1740
200,채소류,1076,방울토마토/대추방울토마토,1kg,4000,3910,4285,4304,4300,3796,0,375
300,특용작물,143,참깨/백색(국산),30kg,825000,825000,843000,846000,825000,901000,0,18000
300,특용작물,146,들깨/국산,22.5kg,322000,322000,329000,329000,322000,352500,0,7000
300,특용작물,149,땅콩/국산,30kg,400000,400000,430000,434000,400000,490000,0,30000
300,특용작물,152,느타리버섯/느타리버섯,2kg,13700,13000,15180,13600,15100,5932,0,2180
300,특용작물,1005,느타리버섯/애느타리버섯,2kg,8250,8500,7924,7732,7813,7130,1,576
300,특용작물,154,팽이버섯/팽이버섯,5kg,10000,10000,11175,11740,11600,8864,0,1175
300,특용작물,156,새송이버섯/새송이버섯,2kg,8500,9000,9103,9516,9313,7998,0,103
400,과일류,198,사과/후지,10kg,59300,59300,56870,53200,39000,79120,1,2430
400,과일류,204,배/신고,15kg,71600,71600,77105,73180,60050,100000,0,5505
400,과일류,212,복숭아/백도,4.5kg,1,1,1,1,1,1,2,0
400,과일류,220,포도/거봉,2kg,1,1,1,1,1,1,2,0
400,과일류,234,바나나/수입,13kg,28000,28000,31200,32840,34000,28300,0,3200
400,과일류,238,참다래/그린 뉴질랜드,10kg,44600,44600,46040,46060,45000,42600,0,1440
400,과일류,240,파인애플/수입,12kg,32000,32000,32180,32720,32000,26300,0,180
400,과일류,246,오렌지/발렌시아 미국,18kg,1,1,1,1,1,1,2,0
400,과일류,666,레몬/수입,17kg,74000,74000,75340,67780,70000,79660,0,1340
400,과일류,664,체리/수입,5kg,120000,120000,124800,112000,100800,64300,0,4800
400,과일류,669,망고/수입,5kg,52600,52600,56510,53120,48900,46100,0,3910
600,수산물,265,건미역/건미역,1kg,13000,13000,13460,13560,13000,10000,0,460
