팽이버섯,"[1, '개']"
무,"['200g', '도막', '토막', 'g', '/개', '조금', '/']"
다시마,"['1조각', '개', '조각', '장', '장(x)', 'ea']"
미역,['1인분']
콩나물,"['1줌', 'g 한봉지', '/봉', '줌', '봉지(g)']"
새우젓,"['2큰술', 'T', '약간', '/~숟가락', '/숟가락']"
멸치,"['10마리', '개', '-마리', '마리', 'ea']"
떡국떡,"['적당량', '떡', 'g']"
된장,"['2T', '큰술', '.스푼', '.T', 'T', '/T', '', '/', '스푼']"
떡볶이떡,"[1, '인분']"
쑥갓,"[1, '줌']"
표고버섯,"[1, '개', '장']"
찹쌀,"[1, '스푼', '큰술']"
한약재료,[1]
고사리,['2줌']
생선,[1]
파,"[1, '개', '대', '뿌리', '적당히', '조금', '줌', '약간']"
버섯,"[1, '개']"
남은 국,['전부']
비닐팩,['5~6장']
그릇,['1개']
국자,['1개']
꽃게,['700g']
다시다,['1큰술']
시금치,"['2줌', ' g', '적당량', '줌']"
두부,"['1/2모', '모', 'g', '/모', '개']"
건새우,"['약간', '큰 술', '큰술', '줌']"
맛술,"[1, '큰술', 'T', '컵', '/cup']"
오렌지,['1개']
북어,['1컵']
신,['1컵']
돼지뼈,['1kg']
우거지,['6장']
깻잎,"['1묶음', '~장', '장', '적당양']"
들깨,"['4큰술', '큰술']"
소주,"['1/2컵', '/병']"
유자폰즈소스,[1]
참깨흑임자드레싱,[1]
황태,"['100g', '개']"
냉동꽃게,['1주먹']
냉동새우,['1주먹']
참치액,"['1t', '큰술', 'T']"
돼지고기,"['200g', '큰 술', 'g', '큰술', '~g', '그램', 'kg', ' g', '인분', '근', '개']"
순두부,"['1팩', 'g']"
참치캔,"['1', '개', '적당량']"
연어캔,['1개']
스팸,"['1/2개', '작은거', '/개']"
,[1]
청국장,['300g']
고추,"['1개', '개', '/개']"
동태,['2마리']
서리태,['100g']
쪽파,"['3뿌리', '줄']"
식용유,"['1/2큰술', 'T', '조금', ' 약간', '약간', '적당량']"
꽁치통조림,['1캔']
콩비지,['200g']
가지,"[1, '/ 개', '개', 'g']"
김치전,['12~15개 정도']
쌀뜨물,['자박하게']
우렁,['1줌']
고구마줄기,[1]
올리고당,"['2T', 'T', '/cup', '약간', '큰술']"
깨,"['0.5T', '약간']"
갈치,['5토막(1마리)']
스리라차소스,"['3큰술', 'T']"
생간,[1]
녹말가루,"['2큰술', '작은술']"
인삼,['조금']
대추,"['3알', '개']"
닭다리,['5개']
닭똥집,['1팩']
치킨튀김가루,['3컵']
카레,"['1/2컵', 'tbsp']"
